year,mwt.0,mwt.1,mwt.2,ot.0,ot.1,ot.2
1980,190790,1386,2572,128321,142,106
1981,1959,51372,644,4139,11837,122
1982,299069,9785,2307,257965,3070,1005
1983,33651,296253,2865,23860,142861,917
1984,29218,25463,4082,44329,29399,5767
1985,2895,58525,2693,11787,12626,1185
1986,24908,12524,2479,12070,2784,288
1987,2872,33471,2287,1984,7174,1284
1988,1724,18360,4921,1094,4323,2220
1989,1137,6595,1514,971,2179,369
1990,745,2776,1058,681,386,317
1991,131,3852,541,245,474,161
1992,370,1134,86,620,448,218
1993,5086,811,22,7006,53,0
1994,NA,16515,349,2847,4207,479
1995,555398,NA,NA,152973,791,504
1996,666,NA,NA,11045,4153,248
1997,4585,6863,1789,10692,3706,1075
1998,62853,6240,1120,20605,197,89
1999,59040,17546,895,57980,6827,600
2000,12326,12132,1168,16079,1841,240
2001,2107,10707,1154,812,15507,954
2002,1173,2472,1900,18132,1070,1604
2003,230,2558,186,4007,6339,1292
2004,1307,2030,486,3529,4323,886
2005,617,3487,545,8459,4074,593
2006,2780,1342,91,21517,1379,285
2007,441,1351,79,3636,5156,815
2008,1207,218,230,6155,343,162
2009,323,3485,75,971,10317,469
2010,867,599,114,628,1373,280
2011,1404,950,106,14261,7134,503
2012,398,5353,1106,2170,840,360
2013,1445,647,324,15545,574,277
2014,1194,615,0,1300,519,63
2015,231,403,44,536,693,196
2016,NA,NA,NA,NA,NA,NA
2017,1929,161,49,5966,0,30
2018,NA,NA,NA,3387,NA,NA
2019,NA,NA,NA,16196,1042,146
2020,837,NA,NA,12109,NA,NA
