Year,Age-0,Age-12,Age-24,Age-36,Age-48
1979,-0.611158482,68.98400977,108.5669139,124.613255,133.3202369
1980,-2.094691367,62.88601572,100.9543072,121.6107251,131.0443241
1981,0.320041622,66.64637128,104.6307146,121.9778203,131.8237433
1982,-2.549984776,60.18885066,98.24801586,119.8497524,131.277404
1983,-13.85219939,64.11327786,102.6254621,122.9990012,132.6927071
1984,-1.872246421,67.37595188,106.0572498,124.4617657,132.7562003
1985,1.94316184,66.89803601,105.4367438,122.8051326,133.544683
1986,-2.666224366,73.78338578,106.248794,126.3234186,134.8525158
1987,0.598834371,66.90302258,109.1622441,127.1169014,135.6605955
1988,1.461134736,75.67620215,112.0226485,129.3180451,136.9399624
1989,1.1127939,69.60561508,111.4945613,129.9546227,136.4697274
1990,3.570831368,72.45223094,114.6532403,129.5472317,136.4676639
1991,2.484901866,76.11896009,112.1139448,128.8388674,135.4163533
1992,1.858503845,69.3813422,110.1391045,126.168094,134.7815351
1993,-2.564193556,71.80629296,107.2100043,126.2347708,133.7117467
1994,2.223107556,62.47186513,106.0657381,123.1986863,132.8898854
1995,1.297251146,68.29398829,103.5102514,123.4302215,132.5793123
1996,-3.641643664,60.69753571,102.8600797,122.2250155,132.0558309
1997,-1.617052794,69.65234925,105.5093943,123.7126042,133.7200089
1998,-1.043001439,65.00368759,103.495091,124.6561418,133.8366254
1999,1.889233269,64.2100141,107.0439502,125.6269711,135.2969722
2000,-1.328798122,69.15667294,107.9663951,128.1617151,135.4335083
2001,0.851136791,73.8207422,114.3661282,128.9654345,135.4492376
2002,0.266926505,71.45956866,108.8486539,125.4537899,133.968229
2003,-1.227165958,71.5939625,106.9430089,125.0685638,132.7376097
2004,-2.365205067,67.07315661,105.8998244,122.3276523,133.1701394
2005,-2.249596555,67.88301771,101.6818848,123.9893853,133.9769262
2006,-1.447408466,62.32493798,106.4881494,126.2609552,134.3910596
2007,2.344380889,69.95616011,110.1546775,126.6833453,134.4706844
2008,0.829518101,69.4877666,107.2220562,125.0002407,133.0309413
2009,1.526784528,69.33325358,106.5624195,123.3794506,132.8764533
2010,0.072084967,70.3805508,104.4396331,123.6736581,134.9783965
2011,0.124513068,64.61392199,104.3224757,127.6610548,135.7591654
2012,0.85969152,64.42867572,112.5758492,129.2821419,136.276901
2013,0.598183781,70.16887314,111.0741712,128.2008141,133.81037
2014,2.712506633,72.88443309,111.2618783,123.8317922,131.7323823
2015,-0.059347392,71.88629656,100.6359839,118.7060755,130.9760636
2016,-1.366437136,56.49671455,93.91833546,119.3284361,130.5246489
2017,-1.588967848,60.76707289,103.7508337,122.6903624,132.7398124
2018,-0.033169909,68.71048911,105.0678754,124.3593657,132.8775505
2019,-1.846030749,68.86236596,107.1416857,124.0439733,132.7157376
2020,2.708695584,64.42999892,102.1306274,121.4730364,131.3967114
